ID	DOI	metalanguage	objectlanguage	license	creators	title	year	edited	superseded	pages	series	seriesnumber
16	10.17169/FUDOCS_document_000000020994	eng	ital1282	CC-BY	Cangemi, Francesco	Prosodic detail in Neapolitan Italian	2014		False		Studies in Laboratory Phonology	1
17	10.17169/FUDOCS_document_000000020749	eng	pite1240	CC-BY	Wilbur, Joshua	A grammar of Pite Saami	2014		False		Studies in Diversity Linguistics	5
18	10.17169/FUDOCS_document_000000019858	eng		CC-BY	Handschuh, Corinna	A typology of marked-S languages	2014		False		Studies in Diversity Linguistics	1
19	10.17169/langsci.b19.294	eng		CC-BY	Rießler, Michael	Adjective attribution	2016		False		Studies in Diversity Linguistics	2
20	10.17169/langsci.b20.102	eng		CC-BY	Lichte, Timm	Syntax und Valenz: Zur Modellierung kohärenter und elliptischer Strukturen mit Baumadjunktionsgrammatiken	2015		False		Empirically Oriented Theoretical Morphology and Syntax	1
22	10.17169/FUDOCS_document_000000020993	eng		CC-BY	Klamer, Marian	The Alor-Pantar languages: History and typology	2015		True		Studies in Diversity Linguistics	3
25	10.17169/langsci.b25.62	eng		CC-BY	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches	2018		True		Textbooks in Language Sciences	1
27	10.5281/zenodo.573753	fra		CC-BY	Bîlbîie, Gabriela	Grammaire des constructions elliptiques: Une étude comparative des phrases sans verbe en roumain et en français	2017		False		Empirically Oriented Theoretical Morphology and Syntax	2
46	10.17169/FUDOCS_document_000000022241	eng		CC-BY	Schäfer, Roland	Einführung in die grammatische Beschreibung des Deutschen	2015		True		Textbooks in Language Sciences	2
48	10.17169/FUDOCS_document_000000021399	eng		CC-BY	Enfield, N.J.	Natural causes of language: Frames, biases, and cultural transmission	2014		False		Conceptual Foundations of Language Science	1
49	10.17169/FUDOCS_document_000000022455	eng		CC-BY	Steels, Luc L.	The Talking Heads experiment: Origins of words and meanings	2015		False		Computational Models of Language Evolution	1
50	10.17169/langsci.b50.113	eng		CC-BY	Vogt, Paul	How mobile robots can self-organise a vocabulary	2015		False		Computational Models of Language Evolution	2
51	10.17169/langsci.b51.104	eng		CC-BY	Bleys, Joris	Language strategies for the domain of colour	2015		False		Computational Models of Language Evolution	3
52	10.17169/langsci.b52.182	eng		CC-BY	van Trijp, Remi	The evolution of case grammar	2016		False		Computational Models of Language Evolution	4
53	10.17169/langsci.b53.183	eng		CC-BY	Spranger, Michael	The evolution of grounded spatial language	2016		False		Computational Models of Language Evolution	5
66	10.17169/langsci.b66.106	eng	yakk1236	CC-BY	Schackow, Diana	A grammar of Yakkha	2015		False		Studies in Diversity Linguistics	7
67	10.17169/langsci.b67.96	eng	mauw1238	CC-BY	Berghäll, Liisa	A grammar of Mauwake	2015		False		Studies in Diversity Linguistics	4
73	10.17169/langsci.b73.17	eng		CC-BY	Dahl, Östen	Grammaticalization in the North: Noun phrase morphosyntax in Scandinavian vernaculars	2015		False		Studies in Diversity Linguistics	6
74	10.5281/zenodo.344813	eng		CC-BY	Brindle, Jonathan	A dictionary and grammatical outline of Chakali	2017		False		African Language Grammars and Dictionaries	2
75	10.17169/langsci.b75.22	eng		CC-BY	Drager, Katie K.	Linguistic variation, identity construction and cognition	2015		False		Studies in Laboratory Phonology	2
76	10.17169/langsci.b76.64	eng		CC-BY	Fantinuoli, Claudio & Zanettin, Federico 	New directions in corpus-based translation studies	2015	(eds.)	False		Translation and Multilingual Natural Language Processing	1
78	10.5281/zenodo.376415	eng	papu1250	CC-BY	Kluge, Angela	A grammar of Papuan Malay	2017		False		Studies in Diversity Linguistics	11
80	10.5281/zenodo.1476426	eng		CC-BY	Forbes-Barnett, Marsha	Dual aspectual forms and event structure in Caribbean English Creoles	2018		False		Studies in Caribbean Languages	2
